,Unnamed: 0,run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event,sentiment,sentence_preprocessed,Topic1,Topic2,Topic3,Topic4,Topic5,Dominant_topic
0,0,story1,"The email came late one afternoon as Dr Carmen Reed was sitting in her office, filling out medical charts for the patients she had seen that day.",11,11,0,0.0,"['email', 'late', 'one', 'afternoon', 'dr', 'carmen', 'reed', 'sitting', 'office', 'filling', 'medical', 'chart', 'patient', 'seen', 'day']",0.78,0.2,0.01,0.01,0.01,1
1,1,story1,"It had been a long day at the busy clinic in Chicago where she worked, and Carmen was tired and ready to go home.",18,18,0,-0.0833333333333333,"['long', 'day', 'busy', 'clinic', 'chicago', 'worked', 'carmen', 'tired', 'ready', 'go', 'home']",0.01,0.01,0.01,0.96,0.01,4
2,2,story1,But the email’s strange subject line caught her eye:,23,23,0,-0.1111111111111111,"['email', 'strange', 'subject', 'line', 'caught', 'eye']",0.02,0.02,0.02,0.93,0.02,4
3,3,story1,"“Fellow doctor, I need your help.”",26,26,1,0.3333333333333333,"['fellow', 'doctor', 'need', 'help']",0.03,0.03,0.03,0.03,0.9,5
4,4,story1, It was sent by someone named Dr John Torreson.,29,29,0,0.0,"['sent', 'someone', 'named', 'dr', 'john', 'torreson']",0.02,0.02,0.02,0.02,0.93,5
5,5,story1,"Intrigued, Carmen began to read.",32,32,0,0.0,"['intrigued', 'carmen', 'began', 'read']",0.03,0.9,0.03,0.03,0.03,2
6,6,story1,Dr Torreson said he was a classmate of Carmen’s from medical school.,38,38,0,0.0,"['dr', 'torreson', 'classmate', 'carmen', 'medical', 'school']",0.93,0.02,0.02,0.02,0.02,1
7,7,story1,"She didn’t recognize his name — but then again, she wasn’t great with names.",42,42,1,0.2142857142857142,"['recognize', 'name', 'great', 'name']",0.03,0.03,0.9,0.03,0.03,3
8,8,story1,"Dr Torreson had spent the last two years working in a remote part of Peru, deep in the Amazon jungle, where a nonprofit organization had built a small medical clinic for the villagers.",55,55,0,0.0,"['dr', 'torreson', 'spent', 'last', 'two', 'year', 'working', 'remote', 'part', 'peru', 'deep', 'amazon', 'jungle', 'nonprofit', 'organization', 'built', 'small', 'medical', 'clinic', 'villager']",0.01,0.01,0.98,0.01,0.01,3
9,9,story1,"But, Dr Torreson wrote, he needed to return to the United States on very short notice.",61,61,0,0.0625,"['dr', 'torreson', 'wrote', 'needed', 'return', 'united', 'state', 'short', 'notice']",0.96,0.01,0.01,0.01,0.01,1
