,run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event,sentiment
0,story1,"The email came late one afternoon as Dr Carmen Reed was sitting in her office, filling out medical charts for the patients she had seen that day.",11,11,0,0.0
1,story1,"It had been a long day at the busy clinic in Chicago where she worked, and Carmen was tired and ready to go home.",18,18,0,-0.08333333333333333
2,story1,But the email’s strange subject line caught her eye:,23,23,0,-0.1111111111111111
3,story1,"“Fellow doctor, I need your help.”",26,26,1,0.3333333333333333
4,story1, It was sent by someone named Dr John Torreson.,29,29,0,0.0
5,story1,"Intrigued, Carmen began to read.",32,32,0,0.0
6,story1,Dr Torreson said he was a classmate of Carmen’s from medical school.,38,38,0,0.0
7,story1,"She didn’t recognize his name — but then again, she wasn’t great with names.",42,42,1,0.21428571428571427
8,story1,"Dr Torreson had spent the last two years working in a remote part of Peru, deep in the Amazon jungle, where a nonprofit organization had built a small medical clinic for the villagers.",55,55,0,0.0
9,story1,"But, Dr Torreson wrote, he needed to return to the United States on very short notice.",61,61,0,0.0625
10,story1,"The clinic was the villagers’ only source of health care, and with Dr Torreson leaving, the nonprofit was threatening to close it down unless a replacement doctor could be found immediately.",72,72,0,0.0
11,story1,"Even if Carmen could spare a couple of months, it would be an enormous help.",77,77,1,0.13333333333333333
12,story1,"Dr Torreson wrote, “It breaks my heart to leave this place, but I really hope you consider coming to work here.",84,84,1,0.047619047619047616
13,story1,I think you would find it very rewarding.”,86,86,1,0.25
14,story1,"Later that night, Carmen thought it over.",91,91,0,0.0
15,story1,There was little tying her to Chicago.,93,93,0,0.0
16,story1,"She had friends, a house, her Sunday morning tennis game — but all of that would be there when she got back.",100,100,0,0.0
17,story1,"Besides, it was November, and the thought of the upcoming winter was enough to make a few months in the rainforest sound pretty appealing.",108,108,0,0.125
18,story1,"She reached for her laptop and quickly typed her response, hitting “send” before she could change her mind.",115,115,1,0.05555555555555555
19,story1,"A week later, Carmen was boarding her plane at the Chicago airport.",120,120,0,0.0
20,story1,She was both nervous and excited.,122,122,0,0.16666666666666666
21,story1,"After a layover in Lima, it was a short flight to Puerto Maldonado, a small town at the edge of the Amazon jungle.",131,131,0,0.0
22,story1,"As the plane started to descend, Carmen looked down eagerly at the landscape below: a carpet of blue-green trees, with a brown river snaking through it.",141,141,0,0.0
23,story1,"It looked beautiful, and completely wild.",144,144,0,0.5
24,story1,"Stepping out onto the runway, a blast of steamy air hit Carmen’s face, filling her mouth and nostrils.",151,151,0,0.0
25,story1,"Whoa, she thought to herself. Welcome to the jungle.",154,154,0,0.2222222222222222
26,story1,"Inside the tiny airport terminal, a man stood clutching a piece of paper with Carmen’s name on it.",161,161,0,0.0
27,story1,"“Antonio,” the man said, pointing at his chest.",164,164,0,0.0
28,story1,He motioned for Carmen to follow him.,167,167,0,0.0
29,story1,They walked out of the terminal and Carmen was once again hit by a wave of humid air.,172,172,0,0.0
30,story1,Antonio led her to a run-down motorcycle with a seat attached to the back.,177,177,0,0.0
31,story1,"Carmen sat down apprehensively, but once Antonio started driving, the breeze felt wonderful against Carmen’s skin.",184,184,0,0.25
32,story1,The main road through the town was full of sights and sounds: children darted between the vehicles; women in flip-flops carried huge baskets full of goods; street vendors sold giant tropical fruits that Carmen could not name.,199,199,0,-0.02702702702702703
33,story1,"Soon, Antonio turned onto a side street, which led down to a river.",204,204,0,0.0
34,story1,"There, a boat was waiting to take her on the final leg of the journey to the remote village.",209,209,0,0.0
35,story1,"Once Carmen and her suitcase were safely inside the boat, the driver set off on the river.",215,215,0,0.058823529411764705
36,story1,"By this time, the sun was setting, and Carmen swatted away mosquitos as the driver whistled to himself.",221,221,0,0.0
37,story1,"The water was calm, the air still;",224,224,0,0.2857142857142857
38,story1,Carmen suddenly felt very far from everything and everyone she knew.,229,229,0,0.0
39,story1,"After what felt like a very long time, the driver turned the boat toward shore.",235,235,0,0.13333333333333333
40,story1,She wondered how he had recognized their destination: there was no sign of civilization anywhere.,241,241,0,-0.06666666666666667
41,story1,"Carmen climbed awkwardly onto the muddy riverbank, trying to keep her balance in the fading light.",248,248,0,-0.125
42,story1,"Just as she managed to lift her suitcase up beside her, she looked over her shoulder to see the driver was already motoring back up the river.",257,257,0,0.0
43,story1,"“Wait!” she called out, alarmed. “Where do I go from here?”",261,261,1,-0.18181818181818182
44,story1,Her voice was drowned out by the buzzing of insects and rushing of the river.,266,266,0,-0.13333333333333333
45,story1,"She looked around: Nothing but dense, shadowy rainforest.",271,271,0,0.0
46,story1,"Just as she was about to panic, she heard footsteps from within the brush.",276,276,0,-0.21428571428571427
47,story1,"A man emerged from the trees, holding a lantern.",280,280,0,0.0
48,story1,"When he saw Carmen, he smiled broadly.",283,283,0,0.2857142857142857
49,story1,"“Hello, Dr Carmen!” he said. “I’m Juan. Juan Torres. We thank you very much for coming to serve our village.”",291,291,0,0.1
50,story1,"Though he spoke with a heavy accent, his English was very good.",295,295,0,0.25
51,story1,"With a sigh of relief, Carmen smiled and shook his hand.",299,299,0,0.0
52,story1,Juan led her down a narrow path through the forest.,303,303,0,0.0
53,story1,"Carmen struggled to keep up, tugging her suitcase over the uneven ground.",308,308,0,-0.16666666666666666
54,story1,"Soon, they emerged into a clearing.",311,311,0,0.0
55,story1,"It was nearly pitch black now, but Carmen could make out the shapes of huts with thatched roofs.",317,317,0,0.0
56,story1, Juan ushered her toward one of them.,320,320,0,0.0
57,story1," Inside were a few pieces of simple wooden furniture: a bed frame, covered by a thin mattress, and a small table.",327,327,0,0.0
58,story1,The floor was packed dirt.,329,329,0,-0.4
59,story1,Juan put the lantern on the table.,331,331,0,0.0
60,story1,"“You must be very tired from the journey,” he said. “You should rest now. We will see each other tomorrow.”",338,338,0,-0.1
61,story1,He nodded and bowed out of the hut.,341,341,0,0.0
62,story1,"As soon as Carmen sat down on the bed, she felt completely exhausted.",345,345,0,-0.15384615384615385
63,story1,"She arranged the mosquito net around her as best she could, and fell immediately into a deep sleep.",352,352,0,0.16666666666666666
64,story1,Carmen woke the next morning to sunlight streaming through the wooden slats of the hut.,359,359,0,0.0
65,story1,She had no idea how long she’d slept.,361,361,0,-0.125
66,story1,She propped herself up on one elbow and squinted at her surroundings.,366,366,0,0.0
67,story1,"Suddenly, she heard a rustling in the corner.",369,369,0,0.0
68,story1,"A small figure stood there, holding a broom made from palm leaves.",373,373,0,0.0
69,story1,"Carmen nearly screeched in shock, but stopped herself at the last moment, so that what came out was a garbled yell.",380,380,1,-0.14285714285714285
70,story1,The noise frightened the girl and she jumped back.,383,383,1,-0.2222222222222222
71,story1,"“Sorry, you startled me!” Carmen said.",387,387,1,-0.5
72,story1,The girl continued to stare at her with huge brown eyes.,391,391,0,0.09090909090909091
73,story1,She looked to be around 11 or 12 years old.,394,394,0,0.0
74,story1,It dawned on Carmen that she probably didn’t speak English.,398,398,0,0.0
75,story1,"“Carmen,” Carmen said, pointing at her chest.",402,402,1,0.0
76,story1,"“Alba,” the girl answered, pointing at her own.",406,406,1,0.0
77,story1,"“Juan?” Carmen asked, holding up her hands, hoping the girl could lead her to the man from the night before.",413,413,1,0.1
78,story1,"Nodding, Alba motioned for Carmen to follow her outside, and Carmen got her first glimpse of the village in daylight.",420,420,0,0.0
79,story1,Her hut was near what appeared to be the village center.,424,424,0,0.0
80,story1,"Women stood around small fires, smoking meats and stirring soups.",429,429,0,0.0
81,story1,"Children ran around them, dodging vines on the ground.",433,433,0,-0.2222222222222222
82,story1,A group of teenage boys was hard at work constructing a new hut.,437,437,0,-0.07692307692307693
83,story1,"Scanning the scene, Carmen spotted Juan across the clearing, deep in conversation with a small group of men.",443,443,0,0.0
84,story1,"Their clothing was more decorative than most of the other villagers’, which made Carmen think they were leaders of some sort.",450,450,0,0.0
85,story1,"When Juan noticed her, he whispered something to the other men, who also turned to stare at Carmen.",457,457,0,0.0
86,story1,"For a brief moment Carmen felt uncomfortable, but then Juan broke into a smile and strode over.",463,463,0,-0.058823529411764705
87,story1,"“Dr Carmen, good morning!” he said.  “I will show you to the clinic now, yes?”",469,469,0,0.25
88,story1,"“Yes, please,” Carmen said, eager to get started.",473,473,0,0.5
89,story1,Juan led Carmen down a short path to a hut that looked identical to her own.,478,478,0,0.0
90,story1,"Inside were two mattresses placed directly on the ground, plus a makeshift table.",484,484,0,0.0
91,story1,"The only medical supplies appeared to be an old-fashioned stethoscope, a thermometer, and a half-empty box of bandages.",491,491,0,-0.05555555555555555
92,story1,"“Hmm, that’s funny. Dr Torreson said the clinic was well stocked…” Carmen started to say.",498,498,1,0.26666666666666666
93,story1,"“Dr Torreson?” Juan repeated, looking confused.",502,502,1,-0.3333333333333333
