run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event
story1,"The email came late one afternoon as Dr Carmen Reed was sitting in her office, filling out medical charts for the patients she had seen that day.",11,11,0
story1,"It had been a long day at the busy clinic in Chicago where she worked, and Carmen was tired and ready to go home.",18,18,0
story1,But the email’s strange subject line caught her eye:,23,23,0
story1,"“Fellow doctor, I need your help.”",26,26,1
story1, It was sent by someone named Dr John Torreson.,29,29,0
story1,"Intrigued, Carmen began to read.",32,32,0
story1,Dr Torreson said he was a classmate of Carmen’s from medical school.,38,38,0
story1,"She didn’t recognize his name — but then again, she wasn’t great with names.",42,42,1
story1,"Dr Torreson had spent the last two years working in a remote part of Peru, deep in the Amazon jungle, where a nonprofit organization had built a small medical clinic for the villagers.",55,55,0
story1,"But, Dr Torreson wrote, he needed to return to the United States on very short notice.",61,61,0
story1,"The clinic was the villagers’ only source of health care, and with Dr Torreson leaving, the nonprofit was threatening to close it down unless a replacement doctor could be found immediately.",72,72,0
story1,"Even if Carmen could spare a couple of months, it would be an enormous help.",77,77,1
story1,"Dr Torreson wrote, “It breaks my heart to leave this place, but I really hope you consider coming to work here.",84,84,1
story1,I think you would find it very rewarding.”,86,86,1
story1,"Later that night, Carmen thought it over.",91,91,0
story1,There was little tying her to Chicago.,93,93,0
story1,"She had friends, a house, her Sunday morning tennis game — but all of that would be there when she got back.",100,100,0
story1,"Besides, it was November, and the thought of the upcoming winter was enough to make a few months in the rainforest sound pretty appealing.",108,108,0
story1,"She reached for her laptop and quickly typed her response, hitting “send” before she could change her mind.",115,115,1
story1,"A week later, Carmen was boarding her plane at the Chicago airport.",120,120,0
story1,She was both nervous and excited.,122,122,0
story1,"After a layover in Lima, it was a short flight to Puerto Maldonado, a small town at the edge of the Amazon jungle.",131,131,0
story1,"As the plane started to descend, Carmen looked down eagerly at the landscape below: a carpet of blue-green trees, with a brown river snaking through it.",141,141,0
story1,"It looked beautiful, and completely wild.",144,144,0
story1,"Stepping out onto the runway, a blast of steamy air hit Carmen’s face, filling her mouth and nostrils.",151,151,0
story1,"Whoa, she thought to herself. Welcome to the jungle.",154,154,0
story1,"Inside the tiny airport terminal, a man stood clutching a piece of paper with Carmen’s name on it.",161,161,0
story1,"“Antonio,” the man said, pointing at his chest.",164,164,0
