,Unnamed: 0,run,sentence,sentence_offset_runsconcatenated,sentence_offset_inrun,mentalizing_event,sentiment,sentence_preprocessed,Topic1,Topic2,Topic3,Dominant_topic,Topic_change
0,0,story1,"The email came late one afternoon as Dr Carmen Reed was sitting in her office, filling out medical charts for the patients she had seen that day.",11,11,0,0,"['email', 'late', 'one', 'afternoon', 'dr', 'carmen', 'reed', 'sitting', 'office', 'filling', 'medical', 'chart', 'patient', 'seen', 'day']",0.98,0.01,0.01,1,0
1,1,story1,"It had been a long day at the busy clinic in Chicago where she worked, and Carmen was tired and ready to go home.",18,18,0,-0.083333333,"['long', 'day', 'busy', 'clinic', 'chicago', 'worked', 'carmen', 'tired', 'ready', 'go', 'home']",0.97,0.02,0.02,1,0
2,2,story1,But the email’s strange subject line caught her eye:,23,23,0,-0.111111111,"['email', 'strange', 'subject', 'line', 'caught', 'eye']",0.03,0.03,0.94,3,0
3,3,story1,"“Fellow doctor, I need your help.”",26,26,1,0.333333333,"['fellow', 'doctor', 'need', 'help']",0.04,0.91,0.04,2,0
4,4,story1, It was sent by someone named Dr John Torreson.,29,29,0,0,"['sent', 'someone', 'named', 'dr', 'john', 'torreson']",0.03,0.03,0.94,3,0
5,5,story1,"Intrigued, Carmen began to read.",32,32,0,0,"['intrigued', 'carmen', 'began', 'read']",0.04,0.91,0.04,2,0
6,6,story1,Dr Torreson said he was a classmate of Carmen’s from medical school.,38,38,0,0,"['dr', 'torreson', 'classmate', 'carmen', 'medical', 'school']",0.94,0.03,0.03,1,0
7,7,story1,"She didn’t recognize his name — but then again, she wasn’t great with names.",42,42,1,0.214285714,"['recognize', 'name', 'great', 'name']",0.04,0.04,0.91,3,0
8,8,story1,"Dr Torreson had spent the last two years working in a remote part of Peru, deep in the Amazon jungle, where a nonprofit organization had built a small medical clinic for the villagers.",55,55,0,0,"['dr', 'torreson', 'spent', 'last', 'two', 'year', 'working', 'remote', 'part', 'peru', 'deep', 'amazon', 'jungle', 'nonprofit', 'organization', 'built', 'small', 'medical', 'clinic', 'villager']",0.01,0.01,0.98,3,0
9,9,story1,"But, Dr Torreson wrote, he needed to return to the United States on very short notice.",61,61,0,0.0625,"['dr', 'torreson', 'wrote', 'needed', 'return', 'united', 'state', 'short', 'notice']",0.96,0.02,0.02,1,0
10,10,story1,"The clinic was the villagers’ only source of health care, and with Dr Torreson leaving, the nonprofit was threatening to close it down unless a replacement doctor could be found immediately.",72,72,0,0,"['clinic', 'villager', 'source', 'health', 'care', 'dr', 'torreson', 'leaving', 'nonprofit', 'threatening', 'close', 'unless', 'replacement', 'doctor', 'found', 'immediately']",0.01,0.98,0.01,2,0
11,11,story1,"Even if Carmen could spare a couple of months, it would be an enormous help.",77,77,1,0.133333333,"['even', 'carmen', 'spare', 'couple', 'month', 'enormous', 'help']",0.95,0.03,0.03,1,0
12,12,story1,"Dr Torreson wrote, “It breaks my heart to leave this place, but I really hope you consider coming to work here.",84,84,1,0.047619048,"['dr', 'torreson', 'wrote', 'break', 'heart', 'leave', 'place', 'really', 'hope', 'consider', 'coming', 'work']",0.01,0.01,0.97,3,0
13,13,story1,I think you would find it very rewarding.”,86,86,1,0.25,"['think', 'find', 'rewarding']",0.89,0.06,0.06,1,0
14,14,story1,"Later that night, Carmen thought it over.",91,91,0,0,"['later', 'night', 'carmen', 'thought']",0.06,0.89,0.05,2,0
15,15,story1,There was little tying her to Chicago.,93,93,0,0,"['little', 'tying', 'chicago']",0.06,0.88,0.06,2,0
16,16,story1,"She had friends, a house, her Sunday morning tennis game — but all of that would be there when she got back.",100,100,0,0,"['friend', 'house', 'sunday', 'morning', 'tennis', 'game', 'back']",0.03,0.03,0.95,3,0
17,17,story1,"Besides, it was November, and the thought of the upcoming winter was enough to make a few months in the rainforest sound pretty appealing.",108,108,0,0.125,"['besides', 'november', 'thought', 'upcoming', 'winter', 'enough', 'month', 'rainforest', 'sound', 'pretty', 'appealing']",0.02,0.02,0.97,3,0
18,18,story1,"She reached for her laptop and quickly typed her response, hitting “send” before she could change her mind.",115,115,1,0.055555556,"['reached', 'laptop', 'quickly', 'typed', 'response', 'hitting', 'send', 'change', 'mind']",0.02,0.96,0.02,2,1
19,19,story1,"A week later, Carmen was boarding her plane at the Chicago airport.",120,120,0,0,"['week', 'later', 'carmen', 'boarding', 'plane', 'chicago', 'airport']",0.95,0.03,0.02,1,0
20,20,story1,She was both nervous and excited.,122,122,0,0.166666667,"['nervous', 'excited']",0.08,0.83,0.08,2,0
21,21,story1,"After a layover in Lima, it was a short flight to Puerto Maldonado, a small town at the edge of the Amazon jungle.",131,131,0,0,"['layover', 'lima', 'short', 'flight', 'puerto', 'maldonado', 'small', 'town', 'edge', 'amazon', 'jungle']",0.02,0.02,0.97,3,0
22,22,story1,"As the plane started to descend, Carmen looked down eagerly at the landscape below: a carpet of blue-green trees, with a brown river snaking through it.",141,141,0,0,"['plane', 'started', 'descend', 'carmen', 'looked', 'eagerly', 'landscape', 'carpet', 'blue', 'green', 'tree', 'brown', 'river', 'snaking']",0.98,0.01,0.01,1,0
23,23,story1,"It looked beautiful, and completely wild.",144,144,0,0.5,"['looked', 'beautiful', 'completely', 'wild']",0.04,0.91,0.04,2,0
24,24,story1,"Stepping out onto the runway, a blast of steamy air hit Carmen’s face, filling her mouth and nostrils.",151,151,0,0,"['stepping', 'onto', 'runway', 'blast', 'steamy', 'air', 'hit', 'carmen', 'face', 'filling', 'mouth', 'nostril']",0.97,0.01,0.01,1,0
25,25,story1,"Whoa, she thought to herself. Welcome to the jungle.",154,154,0,0.222222222,"['whoa', 'thought', 'welcome', 'jungle']",0.04,0.04,0.92,3,0
